id,project_name,start_time,duration(s),cpu_power_consumption(kWh),ram_power_consumption(kWh),power_consumption(kWh),CPU_name,OS
3c4ae2ef-bbcf-425d-950a-41d08d4b7be1,Default project name,2023-10-23 23:12:36,6.588704824447632,1.301013744259464,0.2046427084447941,1.5056564527042582,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
7eeaa4f0-620e-40d3-bf9d-4a0382315031,Default project name,2023-10-23 23:12:55,6.480131149291992,1.0328335431101607,0.2025291946683865,1.2353627377785472,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
28e47ada-bc5b-4930-b449-b1aef2fa0e34,Default project name,2023-10-23 23:13:11,6.229186773300171,1.0397645659920849,0.1891452803823767,1.2289098463744614,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
2845219a-ea5f-4257-a010-cbb7cbff21e8,Default project name,2023-10-23 23:13:26,6.200640916824341,1.3752092729932144,0.1919886968046285,1.5671979697978429,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
ffc5500c-e639-4a27-b5ba-8ca4c70d002e,Default project name,2023-10-23 23:13:41,6.2939293384552,1.261938197702523,0.191600619793121,1.453538817495644,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
1b34d373-d451-4ce9-8a79-ffb2d641a4c8,Default project name,2023-10-23 23:13:56,6.373927354812622,1.2616736651602536,0.1934190749552726,1.4550927401155265,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
3a0582a3-7b2f-45e4-9b43-4cc2404bf991,Default project name,2023-10-23 23:14:11,6.269406318664551,2.0419249268298363,0.1911275881435585,2.233052514973395,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
dd8f4db7-4bf9-4381-bb34-e78816422f90,Default project name,2023-10-23 23:14:26,6.186770677566528,1.4261562041785865,0.1907600956060378,1.6169162997846245,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
992e24d9-36f8-4bfb-9f37-d6731221647c,Default project name,2023-10-23 23:14:41,6.186910390853882,1.2075205246981988,0.1883876892370608,1.3959082139352597,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
a332486d-e0c3-4680-abc9-50b973ff86f8,Default project name,2023-10-23 23:14:56,6.2183518409729,1.3278671976963672,0.1914526482676137,1.519319845963981,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
4231fbac-315a-4abf-a41d-41ef97dcf743,Default project name,2023-10-23 23:15:11,6.225642204284668,1.0209917651412863,0.1905840698840393,1.2115758350253258,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
41ab618c-420b-489e-82c4-723ccaea290d,Default project name,2023-10-23 23:15:26,6.074016571044922,1.421237522804431,0.188528260620842,1.609765783425273,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
e025be39-d3bd-4e53-8860-bc3470a1f244,Default project name,2023-10-23 23:15:41,6.044325828552246,1.4664930435059234,0.1872435725113063,1.6537366160172298,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Windows
